confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,provinceName
1,1,0,0,1,1,20200123,0,0,0,0,内蒙古自治区
2,1,0,0,2,1,20200124,0,0,0,0,内蒙古自治区
5,3,0,0,5,3,20200125,0,0,0,0,内蒙古自治区
11,6,0,0,11,6,20200126,0,0,0,0,内蒙古自治区
13,2,0,0,13,2,20200127,0,0,0,0,内蒙古自治区
16,3,0,0,16,3,20200128,0,0,0,0,内蒙古自治区
18,2,0,0,18,2,20200129,0,0,0,0,内蒙古自治区
20,2,0,0,20,2,20200130,0,0,0,0,内蒙古自治区
23,3,0,0,23,3,20200131,0,0,0,0,内蒙古自治区
27,4,0,0,27,4,20200201,0,0,0,0,内蒙古自治区
34,7,0,0,34,7,20200202,0,0,0,0,内蒙古自治区
35,1,0,0,35,1,20200203,0,0,0,0,内蒙古自治区
42,7,0,0,42,7,20200204,0,0,0,0,内蒙古自治区
46,4,0,0,46,4,20200205,0,0,0,0,内蒙古自治区
50,4,0,0,50,4,20200206,0,0,0,0,内蒙古自治区
52,2,0,0,52,2,20200207,0,0,0,0,内蒙古自治区
54,2,0,0,54,2,20200208,0,0,0,0,内蒙古自治区
58,4,0,0,58,4,20200209,0,0,0,0,内蒙古自治区
58,0,5,5,53,-5,20200210,0,0,0,0,内蒙古自治区
60,2,5,0,55,2,20200211,0,0,0,0,内蒙古自治区
61,1,6,1,55,0,20200212,0,0,0,0,内蒙古自治区
65,4,6,0,59,4,20200213,0,0,0,0,内蒙古自治区
68,3,6,0,62,3,20200214,0,0,0,0,内蒙古自治区
70,2,7,1,63,1,20200215,0,0,0,0,内蒙古自治区
72,2,8,1,64,1,20200216,0,0,0,0,内蒙古自治区
73,1,8,0,65,1,20200217,0,0,0,0,内蒙古自治区
75,2,9,1,66,1,20200218,0,0,0,0,内蒙古自治区
75,0,11,2,64,-2,20200219,0,0,0,0,内蒙古自治区
75,0,16,5,59,-5,20200220,0,0,0,0,内蒙古自治区
75,0,22,6,53,-6,20200221,0,0,0,0,内蒙古自治区
75,0,26,4,49,-4,20200222,0,0,0,0,内蒙古自治区
75,0,30,4,45,-4,20200223,0,0,0,0,内蒙古自治区
75,0,34,4,41,-4,20200224,0,0,0,0,内蒙古自治区
75,0,35,1,40,-1,20200225,0,0,0,0,内蒙古自治区
75,0,38,3,37,-3,20200226,0,0,0,0,内蒙古自治区
75,0,43,5,32,-5,20200227,0,0,0,0,内蒙古自治区
75,0,46,3,29,-3,20200228,0,0,0,0,内蒙古自治区
75,0,51,5,24,-5,20200229,0,0,0,0,内蒙古自治区
75,0,52,1,23,-1,20200301,0,0,0,0,内蒙古自治区
75,0,54,2,20,-3,20200302,1,1,0,0,内蒙古自治区
75,0,59,5,15,-5,20200303,1,0,0,0,内蒙古自治区
75,0,63,4,11,-4,20200304,1,0,0,0,内蒙古自治区
75,0,65,2,9,-2,20200305,1,0,0,0,内蒙古自治区
75,0,65,0,9,0,20200306,1,0,0,0,内蒙古自治区
75,0,68,3,6,-3,20200307,1,0,0,0,内蒙古自治区
75,0,70,2,4,-2,20200308,1,0,0,0,内蒙古自治区
75,0,70,0,4,0,20200309,1,0,0,0,内蒙古自治区
75,0,70,0,4,0,20200310,1,0,0,0,内蒙古自治区
75,0,71,1,3,-1,20200311,1,0,0,0,内蒙古自治区
75,0,71,0,3,0,20200312,1,0,0,0,内蒙古自治区
75,0,71,0,3,0,20200313,1,0,0,0,内蒙古自治区
75,0,71,0,3,0,20200314,1,0,0,0,内蒙古自治区
75,0,71,0,3,0,20200315,1,0,0,0,内蒙古自治区
75,0,73,2,1,-2,20200316,1,0,0,0,内蒙古自治区
75,0,73,0,1,0,20200317,1,0,0,0,内蒙古自治区
75,0,74,1,0,-1,20200318,1,0,0,0,内蒙古自治区
75,0,74,0,0,0,20200319,1,0,0,0,内蒙古自治区
75,0,74,0,0,0,20200320,1,0,0,0,内蒙古自治区
75,0,74,0,0,0,20200321,1,0,0,0,内蒙古自治区
75,0,74,0,0,0,20200322,1,0,0,0,内蒙古自治区
75,0,74,0,0,0,20200323,1,0,0,0,内蒙古自治区
77,2,74,0,2,2,20200324,1,0,0,0,内蒙古自治区
89,12,74,0,14,12,20200325,1,0,0,0,内蒙古自治区
